split,method,bin,count,mean_probability,event_rate,absolute_gap
iid_test,isotonic,6,300,0.28920470776246093,0.3,0.010795292237539056
iid_test,isotonic,7,300,0.365234375,0.31,0.055234375
iid_test,isotonic,8,300,0.365234375,0.3466666666666667,0.01856770833333332
iid_test,isotonic,9,300,0.5387552645935166,0.5166666666666667,0.022088597926849918
iid_test,isotonic,10,300,0.6875122422360127,0.7133333333333334,0.02582109109732067
iid_test,oracle,1,300,0.02050180540499805,0.01,0.01050180540499805
iid_test,oracle,2,300,0.05664266354731363,0.05,0.006642663547313625
iid_test,oracle,3,300,0.0982049089757588,0.09666666666666666,0.001538242309092136
iid_test,oracle,4,300,0.14171515335738546,0.13333333333333333,0.008381820024052133
iid_test,oracle,5,300,0.19363441045716664,0.22333333333333333,0.029698922876166683
iid_test,oracle,6,300,0.2534309581661009,0.21333333333333335,0.04009762483276755
iid_test,oracle,7,300,0.32531990247027154,0.2966666666666667,0.02865323580360485
iid_test,oracle,8,300,0.42082807158180235,0.4033333333333333,0.017494738248469033
iid_test,oracle,9,300,0.5448165027977351,0.52,0.024816502797735063
iid_test,oracle,10,300,0.7358999379988147,0.7566666666666667,0.020766728667852008
shifted_test,raw,1,300,0.049132910683382866,0.09333333333333334,0.04420042264995047
shifted_test,raw,2,300,0.12560629897214803,0.16333333333333333,0.037727034361185297
shifted_test,raw,3,300,0.1966879935219963,0.26666666666666666,0.06997867314467035
shifted_test,raw,4,300,0.2684808972918069,0.3333333333333333,0.0648524360415264
shifted_test,raw,5,300,0.3486950178001847,0.3466666666666667,0.0020283511335180138
shifted_test,raw,6,300,0.44399687750067773,0.4266666666666667,0.01733021083401104
shifted_test,raw,7,300,0.5478758350991068,0.57,0.022124164900893195
shifted_test,raw,8,300,0.6497493353486389,0.6133333333333333,0.03641600201530559
shifted_test,raw,9,300,0.7563309935253134,0.6433333333333333,0.1129976601919801
shifted_test,raw,10,300,0.8777481900891922,0.8033333333333333,0.0744148567558589
shifted_test,platt,1,300,0.07804344051103779,0.09333333333333334,0.01528989282229555
shifted_test,platt,2,300,0.16391413735289595,0.16333333333333333,0.0005808040195626196
shifted_test,platt,3,300,0.2312842391598222,0.26666666666666666,0.03538242750684445
shifted_test,platt,4,300,0.29380946327081364,0.3333333333333333,0.03952387006251967
shifted_test,platt,5,300,0.36011227247215744,0.3466666666666667,0.013445605805490757
shifted_test,platt,6,300,0.43661168695016966,0.4266666666666667,0.00994502028350297
shifted_test,platt,7,300,0.5197146510753354,0.57,0.05028534892466452
shifted_test,platt,8,300,0.603393571728664,0.6133333333333333,0.00993976160466925
shifted_test,platt,9,300,0.6970361539622212,0.6433333333333333,0.05370282062888787
shifted_test,platt,10,300,0.8197646107641018,0.8033333333333333,0.016431277430768443
shifted_test,isotonic,1,300,0.07353743611403767,0.09333333333333334,0.01979589721929567
shifted_test,isotonic,2,300,0.16865641248474456,0.17,0.0013435875152554566
shifted_test,isotonic,3,300,0.21725707033967884,0.25666666666666665,0.03940959632698782
shifted_test,isotonic,4,300,0.3381895136087243,0.37333333333333335,0.03514381972460906
shifted_test,isotonic,5,300,0.365234375,0.3566666666666667,0.008567708333333313
shifted_test,isotonic,6,300,0.3906534245736079,0.38333333333333336,0.007320091240274551
shifted_test,isotonic,7,300,0.558282208588957,0.5666666666666667,0.0083844580777096
shifted_test,isotonic,8,300,0.6112233511383346,0.6166666666666667,0.005443315528332104
shifted_test,isotonic,9,300,0.7085050549243478,0.64,0.06850505492434777
shifted_test,isotonic,10,300,0.7784168653021423,0.8033333333333333,0.024916468031191075
shifted_test,oracle,1,300,0.06665218466496721,0.07,0.003347815335032797
shifted_test,oracle,2,300,0.15737986614366306,0.16666666666666666,0.009286800523003597
shifted_test,oracle,3,300,0.23554894115094763,0.2,0.035548941150947616
shifted_test,oracle,4,300,0.313142539175145,0.3,0.013142539175145018
shifted_test,oracle,5,300,0.3863062290398856,0.33,0.05630622903988558
shifted_test,oracle,6,300,0.46584684020245354,0.4166666666666667,0.04918017353578685
shifted_test,oracle,7,300,0.5485081485747184,0.5366666666666666,0.011841481908051787
shifted_test,oracle,8,300,0.6386057840739856,0.6333333333333333,0.005272450740652301
shifted_test,oracle,9,300,0.7453726104805211,0.7433333333333333,0.002039277147187768
shifted_test,oracle,10,300,0.8853714772730177,0.8633333333333333,0.022038143939684396
