split,repetition,method,brier_score,ece
iid_test,0,raw,0.15478054634241262,0.03182128756962209
iid_test,0,platt,0.1545087052043978,0.03177850555380199
iid_test,0,isotonic,0.15580872631830067,0.0329585327928499
iid_test,0,oracle,0.1506433331006943,0.024589452858440285
iid_test,1,raw,0.15078435493504683,0.022170472916704598
iid_test,1,platt,0.1511068240700022,0.028569644071363982
iid_test,1,isotonic,0.15231467210630129,0.0318956671009777
iid_test,1,oracle,0.14598621327016842,0.023956650420264736
iid_test,2,raw,0.1616222165681365,0.033851219811321526
iid_test,2,platt,0.16058681567468014,0.022052780900259535
iid_test,2,isotonic,0.1618121774978233,0.022618734673457912
iid_test,2,oracle,0.15520353909562856,0.019366579661071418
iid_test,3,raw,0.1561639554762021,0.02310347300238917
iid_test,3,platt,0.1559362776699351,0.020089906610437983
iid_test,3,isotonic,0.15755936366492845,0.025037339941672097
iid_test,3,oracle,0.1477383721300949,0.023588849679367883
iid_test,4,raw,0.15210463195477636,0.018705265899095838
iid_test,4,platt,0.1522820850080641,0.026382884446934908
iid_test,4,isotonic,0.15397401979161995,0.024680862472661408
iid_test,4,oracle,0.14669854338689067,0.027065442840136233
iid_test,5,raw,0.1480605721141124,0.02390139629079412
iid_test,5,platt,0.14830159803553006,0.028008046886902498
iid_test,5,isotonic,0.14918056715103892,0.029556604209098874
iid_test,5,oracle,0.14331965496926075,0.028099771324721284
iid_test,6,raw,0.15815620094060667,0.02628476533516691
iid_test,6,platt,0.15767047584668112,0.0153621318038564
iid_test,6,isotonic,0.15811105341727796,0.015511548299545977
iid_test,6,oracle,0.15112570052301677,0.0233021522031876
iid_test,7,raw,0.16248545341759796,0.03264793623858771
iid_test,7,platt,0.1613759969847312,0.019385499583837236
iid_test,7,isotonic,0.16201745244286694,0.02273539221714225
iid_test,7,oracle,0.1532547586106837,0.0222355707070506
iid_test,8,raw,0.15282420792940812,0.03376247292419016
iid_test,8,platt,0.15209451741394367,0.030494886563993115
iid_test,8,isotonic,0.1533636199476687,0.03538673839528897
iid_test,8,oracle,0.14334036742296447,0.035400240033128534
iid_test,9,raw,0.15323199347207817,0.02799071718443316
iid_test,9,platt,0.15299851415061558,0.03004218853726861
iid_test,9,isotonic,0.15401471997006455,0.03881617629799776
iid_test,9,oracle,0.14596032638360854,0.030063663224364115
iid_test,10,raw,0.15482712421589825,0.03409800108188653
iid_test,10,platt,0.15439304015596642,0.030823376739490607
iid_test,10,isotonic,0.15543356588706023,0.03156381077684571
iid_test,10,oracle,0.15042235951073674,0.017111927511325408
iid_test,11,raw,0.15828836775569455,0.038195546628197186
iid_test,11,platt,0.157641338787053,0.03302010374960868
iid_test,11,isotonic,0.15891116503814776,0.02863549943222773
iid_test,11,oracle,0.15232914011856227,0.030035238271396984
iid_test,12,raw,0.15407087709677084,0.029866881361756626
iid_test,12,platt,0.15375562019210923,0.02577199468413454
iid_test,12,isotonic,0.15506153764783362,0.034003453444113554
iid_test,12,oracle,0.1455465676574424,0.03167657652634367
iid_test,13,raw,0.1551074383039519,0.019900402143580673
iid_test,13,platt,0.1552759449867831,0.027059224564380785
iid_test,13,isotonic,0.1554960748677201,0.01995024018336647
iid_test,13,oracle,0.14720008179471558,0.021537972143704186
iid_test,14,raw,0.15910624705108364,0.034362889555144424
iid_test,14,platt,0.15872021618104565,0.030722034331025903
iid_test,14,isotonic,0.15945871279226428,0.03200897179466206
iid_test,14,oracle,0.15165000094551181,0.018404364054499266
iid_test,15,raw,0.1572217979865249,0.031817910087726865
iid_test,15,platt,0.15654132102207954,0.027817378016476022
iid_test,15,isotonic,0.15772714269323673,0.027336386503163453
iid_test,15,oracle,0.14905650159231915,0.017522898326059574
iid_test,16,raw,0.1509387339926994,0.02562086235970645
iid_test,16,platt,0.15098036871066425,0.029447716486136925
iid_test,16,isotonic,0.15296123519171984,0.03415501911300569
iid_test,16,oracle,0.14740006188738178,0.03519938499767644
iid_test,17,raw,0.1507767695695809,0.028100715699496015
iid_test,17,platt,0.15064720628302042,0.02707131762095348
iid_test,17,isotonic,0.15175971287558096,0.024158581648684077
iid_test,17,oracle,0.14224951017046505,0.031163595885121378
iid_test,18,raw,0.1449647652224573,0.020300957617121484
iid_test,18,platt,0.14596358653299493,0.038910931570575916
iid_test,18,isotonic,0.14824649035673634,0.03664430474651163
iid_test,18,oracle,0.1390379730733661,0.02977921906152341
iid_test,19,raw,0.16009409531358232,0.031537548860007134
iid_test,19,platt,0.15934757586243506,0.026078868215494263
iid_test,19,isotonic,0.15935211516290398,0.023676429820322344
iid_test,19,oracle,0.15309369967458963,0.027925214195475764
iid_test,20,raw,0.15546567280086757,0.02288468784655189
iid_test,20,platt,0.15547929335401978,0.02518978364714732
iid_test,20,isotonic,0.1559997242302242,0.03295461015073159
iid_test,20,oracle,0.148768696998838,0.025285338426307664
iid_test,21,raw,0.15460477747818535,0.023396674094458378
iid_test,21,platt,0.15427514974489245,0.018908019982775644
iid_test,21,isotonic,0.15608793903862136,0.022149620231343724
iid_test,21,oracle,0.14837737389120265,0.01681940554290417
iid_test,22,raw,0.15377868205240627,0.023248203592022548
iid_test,22,platt,0.15372401724761153,0.025473096137911447
iid_test,22,isotonic,0.15454894506732259,0.03202881611731844
iid_test,22,oracle,0.14604299781293711,0.016364961961318626
iid_test,23,raw,0.15183337648409748,0.019999737751481887
iid_test,23,platt,0.15196538013696534,0.024035659247957593
iid_test,23,isotonic,0.15232582607260983,0.02548971722619044
iid_test,23,oracle,0.14346531409783028,0.019948222378154388
iid_test,24,raw,0.1615799171368102,0.02702680877887268
iid_test,24,platt,0.16094333267639407,0.020294969219317432
iid_test,24,isotonic,0.16226456317797897,0.028547586743664213
iid_test,24,oracle,0.15512339833888272,0.01799701246654538
iid_test,25,raw,0.16050469390988353,0.03394424254196315
iid_test,25,platt,0.1595044226421403,0.024557598101890194
iid_test,25,isotonic,0.16014817258372332,0.024604984013567935
iid_test,25,oracle,0.1499268789025078,0.024657603757457593
iid_test,26,raw,0.1492567562810858,0.02803645959145029
iid_test,26,platt,0.14942886115243662,0.029826110312443907
iid_test,26,isotonic,0.15072779184928903,0.02181932920496008
iid_test,26,oracle,0.14472124633707134,0.02239518358657099
iid_test,27,raw,0.15595766010976453,0.02076020884552184
